seed,problem,alpha,beta,rho,num_ants,cycle,assigned_variables,total_variables,completion_rate
12345,P16_81,2.00,0.00,0.02,30,33,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,34,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,35,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,36,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,37,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,38,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,39,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,40,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,41,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,42,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,43,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,44,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,45,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,46,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,47,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,48,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,49,86,100,0.8600
