seed,problem,total_vars,alpha,beta,rho,tau_min,tau_max,num_ants,best_cycle,final_assigned,success,total_cycles,runtime_ms
23456,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,33,87,false,50,168051
23456,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,22,87,false,50,165724
34567,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,42,86,false,50,162596
34567,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,20,84,false,50,172466
34567,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,27,88,false,50,181534
34567,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,34,85,false,50,175053
45678,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,0,85,false,50,184524
45678,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,37,86,false,50,175247
45678,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,22,86,false,50,163588
45678,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,15,86,false,50,166683
56789,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,39,87,false,50,170718
56789,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,15,88,false,50,173529
56789,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,29,85,false,50,139121
56789,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,38,85,false,50,134779
67890,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,3,88,false,50,137584
67890,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,42,87,false,50,133148
67890,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,11,85,false,50,132251
67890,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,6,85,false,50,134254
78901,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,43,86,false,50,134581
78901,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,16,88,false,50,135456
78901,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,23,85,false,50,128300
78901,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,40,87,false,50,93596
89012,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,25,87,false,50,135172
89012,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,12,84,false,50,134988
89012,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,40,88,false,50,136425
89012,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,22,87,false,50,132188
90123,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,0,87,false,50,131196
90123,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,0,87,false,50,129187
90123,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,0,87,false,50,131381
90123,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,0,87,false,50,134472
101234,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,5,85,false,50,136981
101234,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,1,86,false,50,136321
101234,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,11,88,false,50,136355
101234,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,8,88,false,50,137103
12345,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,20,80,false,50,163871
12345,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,49,83,false,50,160628
12345,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,38,82,false,50,161122
12345,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,23,81,false,50,164427
23456,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,23,81,false,50,171027
23456,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,46,80,false,50,160381
23456,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,26,80,false,50,161552
23456,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,5,80,false,50,158404
34567,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,20,80,false,50,164410
34567,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,36,80,false,50,157551
34567,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,24,81,false,50,156659
34567,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,28,80,false,50,159054
45678,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,17,80,false,50,158171
45678,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,15,79,false,50,159095
45678,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,49,80,false,50,155327
45678,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,1,82,false,50,156175
56789,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,5,80,false,50,159275
56789,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,37,81,false,50,160524
56789,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,36,81,false,50,159236
56789,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,44,80,false,50,148257
67890,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,14,81,false,50,169266
67890,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,9,82,false,50,160596
67890,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,10,86,false,50,165853
67890,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,20,82,false,50,138046
78901,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,20,82,false,50,96067
78901,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,3,80,false,50,95410
78901,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,16,81,false,50,95631
78901,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,28,80,false,50,163887
89012,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,29,79,false,50,165878
89012,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,25,80,false,50,163588
89012,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,28,81,false,50,160490
89012,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,23,81,false,50,161240
90123,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,13,80,false,50,161876
90123,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,21,81,false,50,106205
90123,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,21,80,false,50,98414
90123,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,17,81,false,50,126364
101234,P6_76,100,0.00,0.00,0.01,0.0100,4.00,30,22,84,false,50,190297
101234,P6_76,100,1.00,0.00,0.01,0.0100,4.00,30,8,80,false,50,257172
101234,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,20,79,false,50,255077
101234,P6_76,100,3.00,0.00,0.01,0.0100,4.00,30,36,79,false,50,255570
