seed,problem,alpha,beta,rho,num_ants,cycle,assigned_variables,total_variables,completion_rate
12345,P16_81,1.00,0.00,0.01,30,33,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,34,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,35,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,36,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,37,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,38,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,39,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,40,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,41,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,42,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,43,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,44,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,45,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,46,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,47,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,48,85,100,0.8500
12345,P16_81,1.00,0.00,0.01,30,49,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,0,81,100,0.8100
12345,P16_81,2.00,0.00,0.01,30,1,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,2,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,3,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,4,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,5,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,6,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,7,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,8,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,9,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,10,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,11,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,12,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,13,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,14,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,15,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,16,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,17,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,18,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,19,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,20,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,21,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,22,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,23,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,24,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,25,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,26,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,27,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,28,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,29,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,30,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,31,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,32,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,33,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,34,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,35,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,36,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,37,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,38,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,39,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,40,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,41,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,42,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,43,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,44,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,45,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,46,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,47,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,48,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,49,86,100,0.8600
12345,P16_81,3.00,0.00,0.01,30,0,81,100,0.8100
12345,P16_81,3.00,0.00,0.01,30,1,81,100,0.8100
12345,P16_81,3.00,0.00,0.01,30,2,82,100,0.8200
12345,P16_81,3.00,0.00,0.01,30,3,82,100,0.8200
12345,P16_81,3.00,0.00,0.01,30,4,83,100,0.8300
12345,P16_81,3.00,0.00,0.01,30,5,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,6,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,7,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,8,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,9,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,10,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,11,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,12,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,13,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,14,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,15,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,16,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,17,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,18,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,19,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,20,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,21,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,22,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,23,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,24,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,25,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,26,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,27,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,28,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,29,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,30,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,31,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,32,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,33,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,34,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,35,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,36,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,37,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,38,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,39,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,40,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,41,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,42,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,43,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,44,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,45,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,46,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,47,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,48,84,100,0.8400
12345,P16_81,3.00,0.00,0.01,30,49,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,0,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,1,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,2,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,3,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,4,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,5,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,6,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,7,83,100,0.8300
23456,P16_81,0.00,0.00,0.01,30,8,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,9,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,10,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,11,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,12,84,100,0.8400
23456,P16_81,0.00,0.00,0.01,30,13,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,14,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,15,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,16,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,17,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,18,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,19,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,20,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,21,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,22,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,23,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,24,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,25,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,26,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,27,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,28,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,29,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,30,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,31,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,32,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,33,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,34,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,35,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,36,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,37,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,38,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,39,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,40,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,41,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,42,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,43,85,100,0.8500
23456,P16_81,0.00,0.00,0.01,30,44,88,100,0.8800
23456,P16_81,0.00,0.00,0.01,30,45,88,100,0.8800
23456,P16_81,0.00,0.00,0.01,30,46,88,100,0.8800
23456,P16_81,0.00,0.00,0.01,30,47,88,100,0.8800
23456,P16_81,0.00,0.00,0.01,30,48,88,100,0.8800
23456,P16_81,0.00,0.00,0.01,30,49,88,100,0.8800
23456,P16_81,1.00,0.00,0.01,30,0,83,100,0.8300
23456,P16_81,1.00,0.00,0.01,30,1,83,100,0.8300
23456,P16_81,1.00,0.00,0.01,30,2,84,100,0.8400
23456,P16_81,1.00,0.00,0.01,30,3,84,100,0.8400
23456,P16_81,1.00,0.00,0.01,30,4,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,5,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,6,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,7,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,8,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,9,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,10,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,11,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,12,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,13,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,14,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,15,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,16,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,17,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,18,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,19,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,20,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,21,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,22,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,23,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,24,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,25,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,26,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,27,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,28,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,29,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,30,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,31,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,32,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,33,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,34,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,35,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,36,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,37,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,38,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,39,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,40,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,41,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,42,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,43,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,44,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,45,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,46,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,47,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,48,87,100,0.8700
23456,P16_81,1.00,0.00,0.01,30,49,87,100,0.8700
23456,P16_81,2.00,0.00,0.01,30,0,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,1,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,2,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,3,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,4,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,5,83,100,0.8300
23456,P16_81,2.00,0.00,0.01,30,6,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,7,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,8,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,9,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,10,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,11,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,12,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,13,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,14,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,15,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,16,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,17,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,18,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,19,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,20,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,21,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,22,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,23,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,24,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,25,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,26,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,27,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,28,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,29,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,30,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,31,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,32,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,33,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,34,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,35,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,36,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,37,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,38,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,39,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,40,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,41,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,42,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,43,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,44,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,45,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,46,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,47,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,48,86,100,0.8600
23456,P16_81,2.00,0.00,0.01,30,49,86,100,0.8600
23456,P16_81,3.00,0.00,0.01,30,0,83,100,0.8300
23456,P16_81,3.00,0.00,0.01,30,1,83,100,0.8300
23456,P16_81,3.00,0.00,0.01,30,2,83,100,0.8300
23456,P16_81,3.00,0.00,0.01,30,3,83,100,0.8300
